Name BD;Total Nb of Images;Nb of triplets (train) ;IsDiffFaces;Crop Value;Db_Train;With Pretraining;NbEpoches;BS;WD;LR; Archit;Optimizer; LossType - Weighted Classes;Loss1;Loss2;Loss3;f1_score1;f1_score2;f1_score3;best_f1_score;best_epoch;f1_pos_valid;f1_neg_valid;f1_test;training_time ;all_losses;all_f1
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;6;32;1;(0.0001, 'StepLR');4AlexNet;Adam;triplet_loss_False;344.16833;344.16833;344.16833;56.01782;55.7817;57.26575;57.41333;1;;;['(344.16833, 57.26575)', '52.44645'];19.617197036743164;[344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833];[56.01782, 57.41333, 55.579, 55.7817, 56.13962, 57.26575]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;6;32;1;(0.0001, 'StepLR');4AlexNet;Adam;cross_entropy False;83.81454;73.20757;72.65264;33.33333;33.33333;33.33333;33.33333;0;;;['(72.65264, 33.33333)', '33.32655'];13.440234661102295;[83.81454, 78.793, 73.7011, 73.20757, 72.7021, 72.65264];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;6;32;1;(0.0001, 'StepLR');4AlexNet;Adam;constrastive_loss False;185139.29688;185139.29688;185139.29688;54.58528;56.87109;56.37681;56.87109;3;;;['(185139.29688, 56.37681)', '53.06918'];12.858553409576416;[185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688];[54.58528, 55.4475, 55.8632, 56.87109, 55.47349, 56.37681]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;100;32;1;(0.0001, 'StepLR');4AlexNet;Adam;triplet_loss_False;344.16833;344.16833;344.16833;56.46401;55.78414;56.29267;57.63219;7;;;['(344.16833, 56.29267)', '55.03545'];201.79889059066772;[344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833];[56.46401, 56.01078, 57.24651, 57.32862, 56.75846, 56.34872, 56.73, 57.63219, 56.04076, 55.78414, 56.29224, 57.41333, 57.32904, 55.20727, 57.26575, 56.37681, 56.29267, 56.29267]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;100;32;1;(0.0001, 'StepLR');4AlexNet;Adam;cross_entropy False;50.78545;35.33074;20.45532;33.33333;33.33333;33.33333;33.33333;0;;;['(20.45532, 33.33333)', '33.49434'];74.3257839679718;[50.78545, 46.93778, 43.10911, 39.20255, 35.33074, 31.4669, 27.68982, 24.00094, 20.45532];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;80;32;1;(0.0001, 'StepLR');4AlexNet;Adam;triplet_loss_False;344.16833;344.16833;344.16833;55.7817;55.20727;56.0464;57.72879;34;;;['(344.16833, 56.0464)', '54.67665'];184.58154773712158;[344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833, 344.16833];[55.7817, 56.18508, 57.26575, 57.00009, 57.6719, 56.62175, 56.25958, 55.2321, 56.9057, 56.01078, 56.75846, 55.72358, 55.7817, 56.37681, 56.45637, 56.98433, 54.58528, 56.99992, 55.20727, 57.10896, 55.30097, 55.92651, 56.01782, 55.72358, 52.98005, 55.44535, 55.44535, 55.72358, 56.01078, 56.60866, 57.26937, 55.4475, 56.62526, 54.69137, 57.72879, 56.04076, 56.0464]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;80;32;1;(0.0001, 'StepLR');4AlexNet;Adam;cross_entropy False;56.29161;40.83106;25.63046;33.33333;33.33333;33.33333;33.33333;0;;;['(25.63046, 33.33333)', '34.25784'];99.25250506401062;[56.29161, 52.43031, 48.54337, 44.781, 40.83106, 36.97464, 33.1226, 29.37878, 25.63046];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;80;32;1;(0.0001, 'StepLR');4AlexNet;Adam;constrastive_loss False;185139.29688;185139.29688;185139.29688;56.45637;57.00009;55.2321;57.92922;11;;;['(185139.29688, 55.2321)', '54.74942'];95.40596222877502;[185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688, 185139.29688];[56.45637, 57.26575, 56.87109, 56.18508, 56.62175, 56.1978, 57.26575, 56.87109, 55.67445, 57.24651, 56.13962, 57.92922, 54.77837, 56.01782, 56.00046, 55.2648, 54.31472, 55.92651, 57.00009, 57.23946, 56.45315, 55.7817, 55.44535, 56.01078, 57.92922, 56.62175, 57.32904, 56.37681, 57.24651, 55.7817, 57.26575, 56.87109, 57.24651, 56.99992, 57.26575, 55.4475, 55.2321]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;80;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False;nan;nan;nan;33.33333;33.33333;33.33333;33.33333;0;;;['(nan, 33.33333)', '33.33333'];463.99562883377075;[nan, nan, nan, nan, nan, nan, nan, nan, nan];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;80;32;1;(0.0001, 'StepLR');1default;Adam;cross_entropy False;nan;nan;nan;33.33333;33.33333;33.33333;33.33333;0;;;['(nan, 33.33333)', '33.33333'];479.5541892051697;[nan, nan, nan, nan, nan, nan, nan, nan, nan];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
